PART_NUMBER,SKU,Mfg_Part_Num,MANUFACTURER_PART_NUMBER,Dept,Class,Fine,Classpath,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,E1_Brand,Unilog_Brand,DIB_Brand,Product Name,Part_Desc,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UOM_3,ATTRIBUTE_LABEL_4,ATTRIBUTE_VALUE_4,ATTRIBUTE_UOM_4,ATTRIBUTE_LABEL_5,ATTRIBUTE_VALUE_5,ATTRIBUTE_UOM_5,ATTRIBUTE_LABEL_6,ATTRIBUTE_VALUE_6,ATTRIBUTE_UOM_6,ATTRIBUTE_LABEL_7,ATTRIBUTE_VALUE_7,ATTRIBUTE_UOM_7,ATTRIBUTE_LABEL_8,ATTRIBUTE_VALUE_8,ATTRIBUTE_UOM_8,ATTRIBUTE_LABEL_9,ATTRIBUTE_VALUE_9,ATTRIBUTE_UOM_9,ATTRIBUTE_LABEL_10,ATTRIBUTE_VALUE_10,ATTRIBUTE_UOM_10,Standard/Approvals,Warranty,With,MFR URL,Product Image,Specification Sheet,source_url_used,part_number_verified,fields_from_llm_extract,fields_from_llm_lookup
DCB518ASTS06G,DCB518ASTS06G,DCB518ASTS06G,DCB518ASTS06G,Tools & Equipment,Abrasives,Sanding Belts,Tools & Equipment>Abrasives>Sanding Belts,Freud Inc (2435),Freud,Diablo,,,,"Diablo 1/2"" x 18"" Sanding Belt 6pc","DCB518ASTS06G Diablo 1/2""x18"" - Sanding Belt 6pc",Six-piece pack of Diablo 1/2 inch by 18 inch sanding belts.,"Diablo 1/2""x18"" Sanding Belt 6pc, manufactured by Freud Inc.","Diablo 1/2"" x 18"" Sanding Belt, 6-Piece Pack",DIABLO 1/2X18 SANDING BELT 6PC,"Diablo 1/2""x18"" Sanding Belt 6pc",Width,1/2,in,Length,18,in,Pack Quantity,6,pc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_VALUE_3,ATTRIBUTE_UOM_3",
3MABR-7100075678,3MABR-7100075678,3MABR-7100075678,3MABR-7100075678,Abrasives,Coated Abrasives,Sanding Discs,Abrasives>Coated Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P150 Cubitron II Disc,3M 775L Stikit Film P150 - Cubitron II 50 Disc/Box,"3M 775L Stikit Film P150 Cubitron II sanding discs, 50 per box.","3M 775L Stikit Film P150 - Cubitron II, supplied as 50 discs per box.","3M 775L Stikit Film P150 - Cubitron II Disc, 50 Discs/Box",3M 775L STIKIT FILM P150 CUBITRON II 50/BOX,3M 775L Stikit Film P150 Disc 50/Box,Grit,P150,,Box Quantity,50,Discs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
3MABR-7100045865,3MABR-7100045865,3MABR-7100045865,3MABR-7100045865,Abrasives,Coated Abrasives,Sanding Discs,Abrasives>Coated Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P120 Cubitron II Disc,3M 775L Stikit Film P120 - Cubitron II 50 Disc/Box,"3M Cubitron II 775L Stikit Film P120 sanding disc, 50 per box.","3M 775L Stikit Film P120 Cubitron II Disc, 50 Disc/Box.",3M 775L Stikit Film P120 Cubitron II Disc - 50 Discs per Box,3M 775L STIKIT FILM P120 CUBITRON II - 50/BOX,3M P120 Cubitron II Stikit Disc 50/Box,Grit,P120,,Box Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
3MABR-7100048736,3MABR-7100048736,3MABR-7100048736,3MABR-7100048736,Tools & Equipment,Abrasives,Sanding Discs,Tools & Equipment>Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P80 Cubitron II Disc,3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,"3M 775L Stikit Film P80 Cubitron II sanding discs, 50 per box.",3M 775L Stikit Film P80 - Cubitron II 50 Disc/Box,"3M 775L Stikit Film P80 Cubitron II Disc, 50 Discs/Box",3M 775L STIKIT P80 CUBITRON II 50/BOX,3M P80 Cubitron II Stikit Disc 50/Box,Grit,P80,,Pack Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
3MABR-7100075690,3MABR-7100075690,3MABR-7100075690,3MABR-7100075690,Abrasives,Coated Abrasives,Sanding Discs,Abrasives>Coated Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P180 Cubitron II Disc,3M 775L Stikit Film P180 - Cubitron II 50 Disc/Box,"3M 775L Stikit Film P180 Cubitron II sanding discs, 50 per box.","3M 775L Stikit Film P180 - Cubitron II, supplied in a quantity of 50 discs per box.","3M 775L Stikit Film P180 Cubitron II Disc, 50 Discs/Box",3M 775L STIKIT P180 CUBITRON II 50/BOX,3M 775L Stikit P180 Disc 50/Box,Grit,P180,,Box Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
3MABR-7100075692,3MABR-7100075692,3MABR-7100075692,3MABR-7100075692,Abrasives,Coated Abrasives,Sanding Discs,Abrasives>Coated Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P220 Cubitron II Disc,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,"3M Cubitron II 775L Stikit film sanding disc, P220 grit.",3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P220 - Cubitron II 50 Disc/Box,3M 775L Stikit Film P220 Cubitron II 50/Box,3M 775L Stikit Disc P220 50/Box,Grit,P220,,Box Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
3MABR-7100145365,3MABR-7100145365,3MABR-7100145365,3MABR-7100145365,Abrasives,Coated Abrasives,Sanding Discs,Abrasives>Coated Abrasives>Sanding Discs,Jam Industrial Supply LLC (JAMIN),3M,3M,,,,3M 775L Stikit Film P320 Cubitron II Disc,3M 775L Stikit Film P320 - Cubitron II 50 Disc/Box,"3M Cubitron II 775L Stikit film sanding disc in P320 grit, 50 per box.","3M 775L Stikit Film P320 Cubitron II Disc, supplied in a quantity of 50 discs per box.",3M 775L Stikit Film P320 Cubitron II Sanding Disc - 50/Box,3M 775L STIKIT P320 CUBITRON II DISC 50/BOX,3M P320 Cubitron II Stikit Disc 50/Box,Grit,P320,,Box Quantity,50,Disc/Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_UOM_2",
5B-332-080,5B-332-080,5B-332-080,5B-332-080,Tools & Equipment,Abrasives,Sanding Discs,Tools & Equipment>Abrasives>Sanding Discs,Mirka Abrasives Inc (MIRUS),Mirka,Hiolit,,,,"Hiolit 5"" P80 Abrasive","5B-332-080 HIOLIT 5"" P80",Mirka Hiolit 5-inch P80 abrasive disc.,Mirka Abrasives Inc 5B-332-080 Hiolit 5 inch P80 abrasive product.,"Mirka Hiolit 5"" P80 abrasive.","5B-332-080 HIOLIT 5"" P80","Hiolit 5"" P80 Abrasive",Size,5,in,Grit,P80,,Series,Hiolit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2,ATTRIBUTE_LABEL_3,ATTRIBUTE_VALUE_3",
5B-332-120,5B-332-120,5B-332-120,5B-332-120,Tools & Equipment,Abrasives,Sanding Discs,Tools & Equipment>Abrasives>Sanding Discs,Mirka Abrasives Inc (MIRUS),Mirka,Hiolit,,,,"Hiolit 5"" P120 Abrasive","5B-332-120 HIOLIT 5"" P120",5-inch P120 grit Hiolit abrasive product.,"Mirka Abrasives Inc 5B-332-120 Hiolit 5"" P120 abrasive.","Hiolit 5"" P120 abrasive by Mirka Abrasives Inc.","5B-332-120 HIOLIT 5"" P120","Hiolit 5"" P120 Abrasive",Size,5,in,Grit,P120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1,ATTRIBUTE_UOM_1,ATTRIBUTE_LABEL_2,ATTRIBUTE_VALUE_2",
9A-570-240,9A-570-240,9A-570-240,9A-570-240,Tools & Equipment,Abrasives,Sanding Sheets,Tools & Equipment>Abrasives>Sanding Sheets,Mirka Abrasives Inc (MIRUS),Mirka,Abranet,,,,Mirka Abranet 2.75x30,9A-570-240 Abranet 2.75x30,Mirka Abranet abrasive measuring 2.75x30.,Mirka Abrasives Inc 9A-570-240 Abranet 2.75x30.,Mirka Abranet 2.75x30 abrasive product.,9A-570-240 Abranet 2.75x30,Abranet 2.75x30,Size,2.75x30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,"PART_NUMBER,SKU,Dept,Class,Fine,Classpath,MANUFACTURER_NAME,BRAND_NAME,Product Name,SHORT_DESC,LONG_DESC1,RETAIL_DESC,INVOICE_DESC,MOBILE_DESC,ATTRIBUTE_LABEL_1,ATTRIBUTE_VALUE_1",
